Sample ID,Nu Cluster,Type,Latitude,Longitude,Depth (m),Elevation,Distance to land (km),MAAT,pH,744,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
GR28,Soil-type,S,19.86471,79.12199,NA,NA,0,27.25614453,8.37,,0.004991564,0.00034661,0.000382449,0.000381137,0.008940085,0.001426162,0.000152204,0.000845278,0,0,0.00107195,0.005896553,0.000468436,0.002732966,0,0.000198,0.015501269,0.007905578,0.001108857
GR29,Soil-type,S,19.90534,79.11498,NA,NA,0,27.25614453,8.35,,0.006307721,0.000344001,0.00031831,0.000352201,0.0091717,0.00124289,0.000141077,0.00050173,0,0,0.000850551,0.003903909,0.000477633,0.001968049,0,0.000179966,0.011530717,0.006856635,0.001031027
GR30,Soil-type,S,19.42091,79.97408,NA,NA,0,27.77916714,8.16,,0.00773883,0.000434762,0.000490266,0.000418706,0.007732892,0.000900859,0.00015132,0.000509539,0,0,0.001636118,0.004317104,0.000320739,0.00140738,0,0.000124876,0.017491164,0.00469052,0.000641662
GR31,Soil-type,S,19.67726,79.78838,NA,NA,0,27.78919538,7.86,,0.001258278,6.24216E-05,0.000068588,5.29705E-05,0.001549313,0.000188178,2.83E-05,7.15E-05,0,0,0.000292962,0.001008496,8.68E-05,0.000218294,0,1.77E-05,0.008768673,0.003352227,0.000577393
GR32,Soil-type,S,19.78741,79.70904,NA,NA,0,27.78919538,8.35,,0.000932887,7.04466E-05,6.03811E-05,5.28794E-05,0.001767253,0.000309045,2.13E-05,0.000131593,0,0,0.000188182,0.001722813,6.45E-05,0.000586621,0,4.05E-05,0.007052926,0.002799007,0.000434557
GR33,Soil-type,S,20.48403,79.94427,NA,NA,0,27.28128575,8.16,,0.021233623,0.001088799,0.00075225,0.000864147,0.017768886,0.001729456,0.00060825,0.001800817,0,0.000193434,0.005034472,0.013458668,0.001389306,0.006015646,9.89E-05,0.00052868,0.051317515,0.019203932,0.002344774
GR34,Soil-type,S,20.12361,79.92816,NA,NA,0,27.28128575,7.93,,0.041861872,0.001779761,0.00192047,0.001303572,0.028136148,0.00307515,0.001380175,0.00586038,0.000125845,0.000592822,0.011426148,0.039855466,0.002956587,0.017453616,0.000178098,0.001458972,0.093574517,0.04749588,0.005372181
GR35,Soil-type,S,20.12908,78.99722,NA,NA,0,27.52097504,8.18,,0.021449204,0.005285693,0.000828211,0.004287091,0.018904358,0.016839917,0.003740225,0.003654694,0,0.000368595,0.028246266,0.026237752,0.010318133,0.010416611,0.000952709,0.000887566,0.053168095,0.159843757,0.003501169
GR36,Soil-type,S,19.81588,78.57844,NA,NA,0,27.36843266,8.27,,0.001647776,0.000235846,0.000391919,0.000249132,0.005207658,0.000781923,3.16E-05,0.000460219,0,5.08E-05,0.000513663,0.004944938,0.00012781,0.001597596,0,0.00011126,0.010672389,0.004642267,0.000641391
GR37,Soil-type,S,18.86144,77.96074,NA,NA,0,27.49851738,8.26,,0.020845829,0.002240709,0.002104376,0.00222289,0.041821996,0.005060694,0.000277196,0.001173214,0,0,0.003796028,0.012314561,0.00083836,0.007510948,0,0.000449047,0.034992304,0.02619321,0.002676576
GR38,Soil-type,S,19.15263,77.35195,NA,NA,0,27.35049476,9.09,,0.000393147,3.89164E-05,3.51351E-05,4.38692E-05,0.000334468,4.24E-05,0,4.92E-05,0,0,7.61E-05,0.000363856,3.48E-05,9.76E-05,0,0,0.001090913,0.000538485,0.000134219
GR39,Soil-type,S,19.02217,76.72588,NA,NA,0,27.36221795,8.34,,0.001300421,0.00063065,0.000233596,0.000665929,0.004242941,0.002391482,0.000132556,0.000348551,0,3.65E-05,0.001794355,0.002410509,0.000454585,0.001022917,0,6.82E-05,0.006575211,0.01258643,0.000317969
GR40,Soil-type,S,19.27887,76.91233,NA,NA,0,27.36221795,8.21,,0.001890625,0.000274809,0.000505445,0.000270913,0.007898437,0.001474287,0,0.000746181,0,0,0.001148475,0.007592144,0.000178394,0.001970398,0,1.00E-04,0.021051733,0.007250391,0.000608894
GR41,Soil-type,S,19.54141,76.9693,NA,NA,0,27.0034609,8.36,,0.00179162,0.000367102,0.000306151,0.000339142,0.005310679,0.002255918,0.000104732,0.000341401,0,0,0.000916294,0.003243415,0.000187592,0.000861508,0,4.27E-05,0.008369384,0.006802901,0.000381273
GR42,Soil-type,S,20.44657,79.98827,NA,NA,0,27.28128575,6.36,,0.003742172,0.000158022,0.00010581,0.000117647,0.003724025,0.000619636,3.89E-05,9.00E-05,0,0,0.000556344,0.001156761,5.52E-05,0.000161367,0,0,0.025872321,0.001866486,0.000289848
GR43,Soil-type,S,19.01348,78.6612,NA,NA,0,27.35833378,7.88,,0.053406997,0.001986742,0.002075934,0.001513177,0.036550828,0.00308641,0.001490159,0.007805873,0.000179237,0.000717469,0.011887508,0.048914386,0.003358742,0.022471093,0.000265204,0.001849983,0.1160802,0.058966222,0.006292771
GR44,Soil-type,S,18.70466,77.79234,NA,NA,0,27.49851738,8.49,,0.001050051,0.000141613,0.000141828,0.000109036,0.003261255,0.000593582,0,0.000118782,0,0,0.000159199,0.001696861,0,0.000569725,0,0,0.003890923,0.002581695,0.000373026
GR45,Soil-type,S,18.85745,77.80134,NA,NA,0,27.49851738,7.99,,0.019663164,0.000950096,0.001316312,0.000749152,0.020021991,0.002955072,0,0.000800109,0,0,0.001051132,0.006330922,0.000281562,0.003375145,0,0.00017382,0.013501424,0.007336502,0.00077129
GR46,Soil-type,S,19.39831,76.76891,NA,NA,0,27.36221795,8.29,,0.011755704,0.000330801,0.00053721,0.000250707,0.008538418,0.001246161,0.00014662,0.001684606,0,0,0.001934559,0.013895229,0.000524915,0.004031107,0,0.000238941,0.019496512,0.007732474,0.000894294
GR47,Soil-type,S,19.5565,74.92853,NA,NA,0,26.35480266,8.23,,0.011597713,0.005772273,0.003403635,0.004511511,0.031635,0.010269185,0.004870279,0.004991382,0.000567,0.000491353,0.025554171,0.025369533,0.007104964,0.009506603,0.000241245,0.000511506,0.046788527,0.050603248,0.0014878
GR48,Soil-type,S,19.37394801,75.71331804,NA,NA,0,26.95296653,NA,,0.001803955,0.000271011,0.000380923,0.000193701,0.007302493,0.00154265,0.000105342,0.000398289,0,0,0.000552297,0.005555873,0.000198681,0.001196615,0,0,0.016855808,0.007741571,0.001139562
GR49,Soil-type,S,20.10623599,74.06175102,NA,NA,0,25.16518399,NA,,0.007097606,0.000804405,0.00094208,0.00069309,0.016801726,0.003333654,0.000392505,0.001621198,0,0.000225715,0.003268276,0.011095459,0.001443334,0.004793621,0.000113553,0.00040168,0.021528535,0.010500007,0.001584092
GR50,Soil-type,S,18.84882,80.34907,NA,NA,0,27.8288846,NA,,0.000663451,0.000652352,0.000986395,0.000651043,0.000861603,0.000275524,0,0,0,0,0.000171083,0.000120964,0,0,0,0,0.004857993,0.001057305,0.000248723
GR51,Soil-type,S,18.86726,79.95041,NA,NA,0,27.9849581,NA,,0.003199018,0.000205651,0.000313334,0.00020972,0.005699504,0.001187948,3.60E-05,0.000273934,0,0,0.000398703,0.003062977,0.000139578,0.000979533,0,0,0.009451321,0.005289001,0.000904158
GR52,Soil-type,S,18.87391,79.85004,NA,NA,0,27.9849581,NA,,0.005900742,0.000424697,0.000664194,0.000416545,0.008720088,0.001459269,0.000182736,0.001007044,0,0,0.001741463,0.009792024,0.000614195,0.003889625,0,0.000595484,0.023767273,0.01174214,0.001630415
